5199.83	-0.785543	2.33526	5.36449
5299.87	-0.698475	2.38742	5.41005
5299.85	-0.780401	2.41782	5.53195
5299.85	-0.786307	2.42714	5.63892
5399.88	-0.657637	2.47062	5.62618
5399.89	-0.717682	2.48116	5.74447
5399.9	-0.688734	2.3731	5.73763
5499.91	-0.858295	2.63635	5.75067
5499.9	-0.706962	2.63555	5.91584
5599.91	-0.651693	2.56206	5.86945
5599.92	-0.674093	2.61919	6.03325
5599.94	-0.780389	2.66133	6.04592
5699.94	-0.74447	2.60468	6.05607
5699.96	-0.756077	2.76301	6.23373
5799.96	-0.692965	2.76343	6.07129
5799.97	-0.762558	2.72912	6.13298
5799.95	-0.74227	2.79205	6.35958
5899.81	-0.671616	2.83677	6.2173
5899.81	-0.682722	2.81986	6.38105
5899.81	-0.681674	2.82152	6.40506
5999.83	-0.744801	2.94477	6.54901
5999.83	-0.827896	2.85158	6.5112
5999.84	-0.682358	2.80317	6.63221
6099.86	-0.79568	2.97711	6.64476
6099.86	-0.775328	3.03777	6.65498
6199.87	-0.751117	2.94835	6.71772
6199.85	-0.778749	3.06261	6.6927
6199.88	-0.729204	3.01151	6.90742
6299.9	-0.692934	3.10183	6.82723
6299.89	-0.667197	3.10712	6.98874
6299.9	-0.768293	3.16214	7.05485
6399.9	-0.674541	3.20241	7.13059
6399.91	-0.700767	3.13619	7.23936
6499.23	-13.6289	3.274	7.04063
6499.92	-0.713944	3.20275	7.20579
6499.94	-0.644577	3.16695	7.35039
6599.77	-0.707303	3.35333	7.41359
6599.79	-0.682698	3.22843	7.51116
6599.77	-0.748261	3.27031	7.50947
6699.79	-0.634867	3.32132	7.56503
6699.79	-0.680998	3.39779	7.56857
6799.83	-0.671141	3.45765	7.73943
6799.81	-0.722912	3.34773	7.70894
6799.81	-0.74404	3.426	7.85089
6899.82	-0.705393	3.55837	7.73923
6899.85	-0.728367	3.53062	7.90948
6899.83	-0.852717	3.52144	7.865
6999.85	-0.669203	3.53761	7.94624
6999.87	-0.739137	3.61759	7.91549
6999.85	-0.612186	3.55591	7.99798
7099.88	-0.672153	3.62758	8.18655
7099.87	-0.719136	3.73302	8.16073
7199.89	-0.686621	3.60077	8.24033
7199.9	-0.708843	3.74737	8.42061
7199.9	-0.677553	3.82774	8.26344
7299.91	-0.598451	3.77113	8.46553
7299.93	-0.642711	3.82659	8.39525
7399.78	-0.514085	3.86734	8.48629
7399.78	-0.649666	3.8647	8.5277
7399.76	-0.653153	3.87214	8.469
7499.77	-0.587548	3.96075	8.66781
7499.8	-0.552645	3.94643	8.6073
7499.79	-0.692905	3.89768	8.67562
