Frequency(Hz) - Plot 0	Amplitude - Plot 0
13599,6	0,248709
13599,6	0,248683
13699,7	0,247503
13699,7	0,247434
13799,7	0,246319
13799,7	0,246257
13799,7	0,246273
13899,7	0,245033
13899,7	0,245038
13899,7	0,245165
13999,7	0,243896
13999,7	0,24395
14099,7	0,242716
14099,7	0,242726
14099,7	0,242682
14199,8	0,241481
14199,8	0,241516
14199,8	0,24151
14299,8	0,240403
14299,8	0,24036
14399,6	0,239201
14399,6	0,239191
14399,6	0,239251
14499,6	0,238098
14499,6	0,238068
14499,6	0,238091
14599,7	0,236899
14599,6	0,236938
14699,7	0,235832
14699,7	0,235814
14699,7	0,235796
14799,7	0,234703
14799,7	0,234642
14799,7	0,234656
14899,7	0,23357
14899,7	0,233591
14899,7	0,23358
14999,8	0,232545
14999,8	0,232538
15099,8	0,2313
15099,8	0,231378
15099,8	0,231387
15199,6	0,230293
15199,6	0,230279
15299,6	0,229226
15299,6	0,22918
15299,6	0,229205
15399,6	0,228161
15399,7	0,228144
15399,7	0,228152
15499,7	0,227125
15499,7	0,227066
15599,7	0,225988
15599,7	0,226027
15599,7	0,225996
15699,7	0,224975
15699,7	0,225023
15699,7	0,224971
15799,8	0,223929
15799,7	0,223925
15899,6	0,222921
15899,6	0,222878
15899,6	0,222907
15999,6	0,221873
15999,6	0,221878
15999,6	0,221868
16099,6	0,220829
16099,6	0,220787
16199,6	0,21984
16199,6	0,219804
16199,6	0,219805
16299,7	0,218799
16299,7	0,218787
16399,7	0,217819
16399,7	0,217828
16399,7	0,217837
16499,7	0,216821
16499,7	0,216867
16499,7	0,216862
16599,7	0,215882
16599,7	0,215917
16699,6	0,214858
16699,6	0,214926
16699,6	0,214883
16799,6	0,213908
16799,6	0,21394
16799,9	0,213913
16899,6	0,212977
16899,6	0,212959
16999,6	0,212049
16999,6	0,212042
16999,6	0,212034
17099,6	0,211078
17099,7	0,211076
17199,7	0,210164
17199,7	0,210154
17199,7	0,210102
17299,7	0,209175
17299,7	0,209207
17299,7	0,209164
17399,7	0,208271
17399,7	0,208246
17499,5	0,207345
17499,5	0,207329
17499,6	0,207333
17599,6	0,206391
17599,6	0,206374
17699,6	0,205551
17699,6	0,205467
17699,6	0,205514
17799,6	0,204606
17799,6	0,204681
17799,6	0,204643
17899,6	0,20374
17899,6	0,203773
17999,7	0,202869
17999,7	0,202864
17999,7	0,202852
22576	8,92E-05
