Frequency(Hz) - Plot 0	Amplitude - Plot 0
10740,3	-46,5706
10739,5	-46,7324
10759,9	-47,0251
10759,6	-46,7246
10780,4	-47,1635
10780	-46,9725
10780,2	-47,1268
10800	-46,8538
10799,3	-47,0257
10820,3	-46,7934
10819,1	-46,9878
10840	-46,9122
10840,2	-47,1459
10859	-47,0411
10859,6	-47,035
10879,5	-47,0345
10880,2	-47,1254
10899,8	-46,9397
10900	-47,3751
10920	-47,163
10919,5	-47,6718
10939,6	-47,6042
10939,8	-47,1702
10960,4	-47,3769
10959,8	-47,3559
10979,6	-46,9539
10979,4	-47,1139
11000,1	-47,7712
10999	-47,1823
11020,3	-46,9552
11020	-47,254
11039,8	-47,1391
11039,9	-47,9541
11040,1	-47,5338
11060	-47,4889
11059,6	-47,2288
11079,8	-47,5308
11080,3	-47,4449
11100,4	-47,5142
11100,6	-47,4103
11119,7	-47,823
11120,4	-47,6685
11140,2	-47,5527
11140,2	-47,8064
11159,9	-47,9219
11159,9	-47,5498
11179,7	-47,6636
11179,9	-47,7494
11200,3	-48,1576
11199,6	-47,6393
11219,8	-47,6102
11220,1	-47,7023
11239,2	-47,7104
11239,8	-47,8562
11259,7	-47,9795
11259,7	-47,5989
11259,6	-47,6034
11279,8	-47,9449
11299,4	-47,8492
11299,2	-47,901
11299,5	-47,9514
11319,9	-48,2967
11319,8	-47,7887
11340	-48,0807
11339,9	-48,1429
11360,1	-48,1855
11359,9	-48,0058
11379,8	-48,2157
11379,8	-48,286
11400,1	-47,8701
11399,3	-47,8226
11419,7	-48,1544
11419,5	-47,9994
11439,9	-48,1601
11440,3	-48,3323
11459,5	-48,2298
11460	-48,2975
11479,6	-47,8606
11480	-48,2721
11499,8	-48,1476
11499,7	-47,918
11520,8	-48,4948
11519,6	-48,4541
11539,8	-48,1046
11540,3	-48,3937
11559,9	-48,332
11559,5	-48,2818
11579,1	-48,2908
11579,5	-48,4075
11600,2	-48,1107
11600,3	-48,3253
11619,9	-48,4129
11618,9	-48,3728
11639,8	-48,5165
11640,2	-48,4585
11659,6	-48,5018
11660	-49,0177
11679,6	-48,5007
11679,8	-47,9397
11699,3	-48,6394
11699	-48,5767
11720	-48,4737
11719,6	-48,4463
11740	-48,8692
11739,4	-48,4828
11760	-48,6033
11760	-48,8009
11779,4	-48,9206
11779,7	-48,7412
11799,7	-48,5665
11800,1	-48,7106
11819,4	-48,596
11819,6	-48,8522
11839,9	-49,0921
11840,1	-48,7019
11840,1	-48,9193
11860,5	-48,8835
11859,7	-49,1345
11879	-48,9606
11879,2	-48,8553
11900,1	-48,9107
11900,6	-49,3621
11919,6	-49,0642
11919	-48,7229
11939,5	-48,7383
11940,4	-49,5352
11959,5	-49,4461
11958,8	-48,7743
11980	-48,9952
11979,5	-48,6179
12000,3	-48,8853
12001	-49,453
