Frequency(Hz) - Plot 0	Amplitude - Plot 0
5199,83	-0,785543
5299,87	-0,698475
5299,85	-0,780401
5299,85	-0,786307
5399,88	-0,657637
5399,89	-0,717682
5399,9	-0,688734
5499,91	-0,858295
5499,9	-0,706962
5599,91	-0,651693
5599,92	-0,674093
5599,94	-0,780389
5699,94	-0,74447
5699,96	-0,756077
5799,96	-0,692965
5799,97	-0,762558
5799,95	-0,74227
5899,81	-0,671616
5899,81	-0,682722
5899,81	-0,681674
5999,83	-0,744801
5999,83	-0,827896
5999,84	-0,682358
6099,86	-0,79568
6099,86	-0,775328
6199,87	-0,751117
6199,85	-0,778749
6199,88	-0,729204
6299,9	-0,692934
6299,89	-0,667197
6299,9	-0,768293
6399,9	-0,674541
6399,91	-0,700767
6499,23	-13,6289
6499,92	-0,713944
6499,94	-0,644577
6599,77	-0,707303
6599,79	-0,682698
6599,77	-0,748261
6699,79	-0,634867
6699,79	-0,680998
6799,83	-0,671141
6799,81	-0,722912
6799,81	-0,74404
6899,82	-0,705393
6899,85	-0,728367
6899,83	-0,852717
6999,85	-0,669203
6999,87	-0,739137
6999,85	-0,612186
7099,88	-0,672153
7099,87	-0,719136
7199,89	-0,686621
7199,9	-0,708843
7199,9	-0,677553
7299,91	-0,598451
7299,93	-0,642711
7399,78	-0,514085
7399,78	-0,649666
7399,76	-0,653153
7499,77	-0,587548
7499,8	-0,552645
7499,79	-0,692905
7599,8	-0,542953
7599,83	-0,68444
7599,81	-0,566286
7699,81	-0,500437
7699,79	-0,580778
7799,84	-0,691032
7799,85	-0,693979
7799,85	-0,523668
7899,86	-0,533873
7899,86	-0,577669
7999,9	-0,560787
7999,89	-0,594187
7999,88	-0,666477
8099,9	-0,479555
8099,92	-0,693007
8099,92	-0,681729
8199,75	-0,514026
8199,75	-0,651475
8199,74	-0,570984
8299,78	-0,615654
8299,75	-0,445674
8399,79	-0,563149
8399,79	-0,451001
8399,81	-0,631286
8499,81	-0,587218
8499,81	-0,650315
8499,82	-0,660715
8599,82	-0,616124
8599,84	-0,579181
8599,83	-0,651984
8699,84	-0,469634
8699,87	-0,485909
8799,86	-0,612161
8799,86	-0,456252
8799,88	-0,509292
8899,89	-0,484325
8899,9	-0,588775
8899,92	-0,541474
8999,75	-0,56652
8999,75	-0,56383
9099,78	-0,592548
9099,75	-0,539471
9099,75	-0,546541
9199,79	-0,569035
9199,79	-0,567201
9299,8	-0,41619
9299,81	-0,450811
9299,81	-0,601706
9399,83	-0,549438
9399,83	-0,416907
9399,84	-0,592934
9499,85	-0,537688
9499,86	-0,583219
9599,85	-0,532148
9599,88	-0,455412
9599,86	-0,600834
9699,7	-0,593089
9699,69	-0,537035
9699,69	-0,394035
9799,72	-0,546331
9799,73	-0,505015
9899,76	-0,519911
9899,74	-0,459749
9899,71	-0,540516
9999,78	-0,494605
9999,77	-0,454672
10099,8	-0,428213
10099,8	-0,406451
10099,8	-0,494812
10199,8	-0,422006
10199,8	-0,449993
10299,8	-0,432854
10299,8	-0,421391
10299,8	-0,432821
10399,9	-0,430315
10399,9	-0,467359
10399,8	-0,37054
10499,7	-0,525355
10499,7	-0,537226
10599,7	-0,343298
10599,7	-0,380229
10599,7	-0,484626
10699,7	-0,53569
10699,7	-0,363779
10799,8	-0,492386
10799,7	-0,473111
10799,8	-0,34961
10899,8	-0,393964
10899,8	-0,414626
10899,8	-0,416657
10999,8	-0,529802
10999,8	-0,325484
11099,8	-0,385549
11099,8	-0,308669
11099,8	-0,289001
11199,9	-0,294848
11199,8	-0,425168
11299,7	-0,320728
11299,7	-0,429239
11299,7	-0,286004
11399,7	-0,397044
11399,7	-0,497548
11399,7	-0,312228
11499,7	-0,314547
11499,7	-0,443157
11599,8	-0,386918
11599,8	-0,234617
11599,7	-0,317243
11699,8	-0,384086
11699,8	-0,43536
11799,8	-0,404837
11799,8	-0,318173
11799,8	-0,602621
11899,8	-0,343919
11899,8	-0,410611
11999,8	-0,388156
11999,9	-0,408004
11999,8	-0,205087
12099,7	-0,351535
12099,7	-0,305694
12199,7	-0,345183
12199,7	-0,188177
12199,7	-0,358834
12299,7	-0,277865
12299,7	-0,341502
12399,7	-0,234024
12399,7	-0,389793
12399,7	-0,395573
12499,8	-0,286062
12499,8	-0,134579
12499,8	-0,289597
12599,8	-0,392459
12599,8	-0,28824
12699,8	-0,342703
12699,8	-0,362089
12699,8	-0,303885
12799,6	-0,155275
12799,6	-0,252504
12899,7	-0,263029
12899,7	-0,338306
12999,7	-0,0743869
12999,7	-0,270338
12999,7	-0,31941
13099,7	-0,148875
13099,7	-0,281121
13099,7	-0,176476
13199,7	-0,269737
13199,7	-0,179724
13299,7	-0,288732
13299,7	-0,23301
13299,7	-0,380326
13399,8	-0,17642
13399,8	-0,274246
13499,8	-0,34003
13499,8	-0,15932
13499,8	-0,135532
13599,6	-0,29245
13599,6	-0,281816
13699,6	-0,207155
13699,7	-0,290871
13699,7	-0,31773
13799,7	-0,0402295
13799,7	-0,286699
13899,7	-0,231139
13899,7	-0,16228
13899,7	-0,14796
13999,7	-0,264236
13999,7	-0,178649
14099,7	-0,240002
14099,7	-0,0468296
14199,8	-0,196012
14199,8	-0,346613
14199,8	-0,182697
14299,8	-0,1681
14299,8	-0,358605
14399,6	-0,282757
14399,6	-0,0602336
14399,6	-0,20039
14499,7	-0,226594
14499,6	-0,0103017
14599,7	-0,249223
14599,7	-0,153218
14599,7	-0,107559
14699,7	-0,0263365
14699,7	-0,18479
14799,7	-0,107416
14799,7	-0,144769
14799,7	-0,2518
14899,7	-0,0485662
14899,7	-0,17117
14999,8	-0,055252
14999,7	0,0357731
14999,7	-0,251937
