Frequency(Hz) - Plot 0	Amplitude - Plot 0
5299,86	2,33526
5299,85	2,38742
5299,84	2,41782
5399,89	2,42714
5399,88	2,47062
5499,9	2,48116
5499,92	2,3731
5599,92	2,63635
5599,92	2,63555
5599,93	2,56206
5699,94	2,61919
5699,93	2,66133
5699,94	2,60468
5799,95	2,76301
5799,97	2,76343
5899,78	2,72912
5899,81	2,79205
5899,79	2,83677
5999,81	2,81986
5999,84	2,82152
6099,85	2,94477
6099,85	2,85158
6099,86	2,80317
6199,87	2,97711
6199,87	3,03777
6199,86	2,94835
6299,9	3,06261
6299,9	3,01151
6299,87	3,10183
6399,91	3,10712
6399,92	3,16214
6499,92	3,20241
6499,95	3,13619
6499,93	3,274
6599,78	3,20275
6599,76	3,16695
6699,79	3,35333
6699,81	3,22843
6699,77	3,27031
6799,82	3,32132
6799,81	3,39779
6899,84	3,45765
6899,85	3,34773
6899,85	3,426
6999,87	3,55837
6999,85	3,53062
7099,9	3,52144
7099,88	3,53761
7099,87	3,61759
7199,92	3,55591
7199,91	3,62758
7299,93	3,73302
7299,93	3,60077
7399,75	3,74737
7399,75	3,82774
7399,76	3,77113
7499,75	3,82659
7499,77	3,86734
7599,83	3,8647
7599,83	3,87214
7599,8	3,96075
7699,85	3,94643
7699,83	3,89768
7799,85	4,11561
7799,84	4,06632
7799,84	4,15608
7899,87	4,14522
7899,88	4,09017
7999,89	4,17976
7999,89	4,23536
7999,86	4,17832
8099,91	4,0719
8099,91	4,14243
8199,74	4,19622
8199,76	4,30095
8199,76	4,22853
8299,77	4,32533
8299,78	4,4178
8399,79	4,40185
8399,79	4,53984
8499,82	4,35434
8499,83	4,42827
8499,81	4,43203
8599,82	4,54488
8599,84	4,57291
8699,89	4,51399
8699,88	4,53048
8699,86	4,51475
8799,86	4,66745
8799,89	4,66454
8899,88	4,70889
8899,9	4,73375
8899,9	4,67706
8999,75	4,84217
8999,74	4,78494
9099,76	4,78739
9099,77	4,86727
9199,78	5,02523
9199,78	4,99577
9199,79	4,93425
9299,79	4,97854
9299,81	4,90478
9399,83	5,01643
9399,85	5,01103
9399,83	5,1649
9499,86	5,08598
9499,85	5,19355
9599,88	5,07081
9599,86	5,1778
9699,72	5,28783
9699,72	5,27002
9699,7	5,20306
9799,73	5,40191
9799,75	5,27651
9899,74	5,38799
9899,75	5,40583
9899,77	5,39816
9999,74	5,5309
9999,78	5,32783
10099,8	5,49557
10099,8	5,54696
10099,8	5,42742
10199,8	5,55162
10199,8	5,61271
10299,8	5,68122
10299,8	5,75239
10399,9	5,71593
10399,9	5,81103
10399,9	5,74133
10499,7	5,83765
10499,7	5,81382
10599,7	5,90243
10599,7	5,79334
10599,7	5,76478
10699,7	5,89213
10699,7	5,86762
10799,8	5,97859
10799,8	5,96769
10899,8	5,93818
10899,8	5,93337
10899,8	5,99993
10999,8	6,07562
10999,8	6,13352
11099,8	6,16322
11099,9	6,12825
11099,8	6,03966
11199,8	6,07585
11199,9	6,24622
11299,7	6,24422
11299,7	6,39309
11399,7	6,4402
11399,7	6,29088
11399,7	6,26791
11499,7	6,54185
11499,7	6,47449
11599,8	6,53925
11599,8	6,49818
11699,8	6,60035
11699,7	6,5912
11699,8	6,64811
11799,8	6,57882
11799,8	6,81828
11899,8	6,85454
11899,8	6,80137
11999,9	6,82434
11999,9	6,84656
11999,8	6,87073
12099,7	6,87808
12099,7	6,86169
12199,7	6,86714
12199,7	6,8487
12199,7	6,9894
12299,7	7,03795
12299,7	6,95046
12399,7	6,96238
12399,7	6,99028
12499,8	7,1645
12499,7	7,10127
12599,8	7,20609
12599,8	7,17176
12599,8	7,16379
12699,8	7,16114
12699,8	7,14663
12799,6	7,21008
12799,6	7,40247
12799,7	7,27148
12899,6	7,3363
12899,6	7,30483
12999,7	7,38261
12999,7	7,52583
13099,7	7,37921
13099,7	7,36613
13099,7	7,46158
13199,7	7,58695
13199,7	7,56525
13299,8	7,62711
13299,8	7,53561
13399,8	7,69351
13399,8	7,80781
13499,8	7,83229
13499,8	7,7009
13499,8	7,8833
13599,6	7,74025
13599,7	7,95849
13699,6	7,99776
13699,7	8,00835
13799,7	8,07705
13799,7	7,96346
13799,7	8,03742
13899,7	7,94177
13899,7	7,83189
13999,7	8,05645
13999,7	8,03134
14099,7	8,2031
14099,7	8,24936
14199,7	8,37293
14199,7	8,40129
14199,8	8,06739
14299,8	8,42961
14299,8	8,20178
14399,6	8,46229
14399,6	8,44234
14499,6	8,46965
14499,6	8,40662
14499,6	8,29465
14599,7	8,60124
14599,7	8,49384
14699,7	8,69077
14699,7	8,70984
14799,7	8,55888
14799,7	8,68449
14799,7	8,73033
14899,7	8,68938
14899,7	8,54494
14999,7	8,85584
14999,7	8,62435
14999,7	8,75129
